country,quarter,gdp
France,2020-Q3,584518.1
France,2020-Q4,622549.9
France,2021-Q1,601017.2
France,2021-Q2,619071.4
France,2021-Q3,625894.7
France,2021-Q4,662119
France,2022-Q1,640871.3
France,2022-Q2,658522.4
France,2022-Q3,657576.1
France,2022-Q4,697027.4
France,2023-Q1,686019.6
France,2023-Q2,704946.4
France,2023-Q3,695245.8
France,2023-Q4,740329.7
France,2024-Q1,718264.8
France,2024-Q2,722863
France,2024-Q3,723257.6
France,2024-Q4,755514.5
France,2025-Q1,729218.2
France,2025-Q2,739642.6
France,2025-Q3,733783.5
France,2025-Q4,774287.8
Germany,2017-Q1,819940
Germany,2017-Q2,815560
Germany,2017-Q3,839240
Germany,2017-Q4,858370
Germany,2018-Q1,846160
Germany,2018-Q2,847760
Germany,2018-Q3,857750
Germany,2018-Q4,882360
Germany,2019-Q1,873730
Germany,2019-Q2,866250
Germany,2019-Q3,892540
Germany,2019-Q4,904760
Germany,2020-Q1,881340
Germany,2020-Q2,795170
Germany,2020-Q3,871270
Germany,2020-Q4,902940
Germany,2021-Q1,887590
Germany,2021-Q2,896180
Germany,2021-Q3,932310
Germany,2021-Q4,966260
Germany,2022-Q1,973140
Germany,2022-Q2,976130
Germany,2022-Q3,1002380
Germany,2022-Q4,1037740
Germany,2023-Q1,1043520
Germany,2023-Q2,1031880
Germany,2023-Q3,1055500
Germany,2023-Q4,1088410
Germany,2024-Q1,1071630
Germany,2024-Q2,1063850
Germany,2024-Q3,1083070
Germany,2024-Q4,1110420
Germany,2025-Q1,1101210
Germany,2025-Q2,1095620
Germany,2025-Q3,1120330
Germany,2025-Q4,1152720
Greece,2017-Q1,40834.8
Greece,2017-Q2,44235.5
Greece,2017-Q3,47253.5
Greece,2017-Q4,45054.7
Greece,2018-Q1,41488.7
Greece,2018-Q2,44869.4
Greece,2018-Q3,48261.3
Greece,2018-Q4,45996.2
Greece,2019-Q1,42297.3
Greece,2019-Q2,46416.6
Greece,2019-Q3,49946.3
Greece,2019-Q4,46521
Greece,2020-Q1,41406
Greece,2020-Q2,38474.9
Greece,2020-Q3,44784
Greece,2020-Q4,42874.6
Greece,2021-Q1,40078.8
Greece,2021-Q2,44524
Greece,2021-Q3,50783.7
Greece,2021-Q4,49188.1
Greece,2022-Q1,45914.2
Greece,2022-Q2,50607.6
Greece,2022-Q3,56590.9
Greece,2022-Q4,53896
Greece,2023-Q1,49739.3
Greece,2023-Q2,55534.9
Greece,2023-Q3,61235
Greece,2023-Q4,58177.1
Greece,2024-Q1,52350.5
Greece,2024-Q2,58622.1
Greece,2024-Q3,64640.3
Greece,2024-Q4,61123
Greece,2025-Q1,55161.6
Greece,2025-Q2,61665.9
Greece,2025-Q3,67704.4
Greece,2025-Q4,69000
Hungary,2017-Q1,27648.8
Hungary,2017-Q2,31355.1
Hungary,2017-Q3,32945.5
Hungary,2017-Q4,35244.8
Hungary,2018-Q1,30224.5
Hungary,2018-Q2,33785.9
Hungary,2018-Q3,34704
Hungary,2018-Q4,37735.2
Hungary,2019-Q1,32848.1
Hungary,2019-Q2,36701.9
Hungary,2019-Q3,37605.2
Hungary,2019-Q4,40086.4
Hungary,2020-Q1,33063.8
Hungary,2020-Q2,31484.9
Hungary,2020-Q3,35485.5
Hungary,2020-Q4,38775.3
Hungary,2021-Q1,31699
Hungary,2021-Q2,38539.9
Hungary,2021-Q3,40065.9
Hungary,2021-Q4,44645.8
Hungary,2022-Q1,37563.7
Hungary,2022-Q2,42296.2
Hungary,2022-Q3,42466.1
Hungary,2022-Q4,45770.5
Hungary,2023-Q1,40447.8
Hungary,2023-Q2,50248.9
Hungary,2023-Q3,51183.1
Hungary,2023-Q4,55522.3
Hungary,2024-Q1,42762.8
Hungary,2024-Q2,52726.4
Hungary,2024-Q3,53825.6
Hungary,2024-Q4,56452
Hungary,2025-Q1,44236.9
Hungary,2025-Q2,54077.7
Hungary,2025-Q3,56809.7
Hungary,2025-Q4,57200
Ireland,2017-Q1,72621.5
Ireland,2017-Q2,72749.8
Ireland,2017-Q3,79357.7
Ireland,2017-Q4,83637
Ireland,2018-Q1,81346
Ireland,2018-Q2,80660.8
Ireland,2018-Q3,85814
Ireland,2018-Q4,87315.2
Ireland,2019-Q1,87185.3
Ireland,2019-Q2,86790.2
Ireland,2019-Q3,93714
Ireland,2019-Q4,96063.1
Ireland,2020-Q1,95483.5
Ireland,2020-Q2,86711.8
Ireland,2020-Q3,101658
Ireland,2020-Q4,97875.4
Ireland,2021-Q1,107015.1
Ireland,2021-Q2,106633.2
Ireland,2021-Q3,118542.8
Ireland,2021-Q4,116254.1
Ireland,2022-Q1,122535.1
Ireland,2022-Q2,125772.9
Ireland,2022-Q3,137890.2
Ireland,2022-Q4,134520.1
Ireland,2023-Q1,131960.2
Ireland,2023-Q2,129739.3
Ireland,2023-Q3,134088.5
Ireland,2023-Q4,128940.7
Ireland,2024-Q1,132921.3
Ireland,2024-Q2,135195.7
Ireland,2024-Q3,143440.4
Ireland,2024-Q4,151236.8
Ireland,2025-Q1,167191.5
Ireland,2025-Q2,159444.9
Ireland,2025-Q3,158916.9
Ireland,2025-Q4,158000
Italy,2017-Q1,411798.4
Italy,2017-Q2,433544.2
Italy,2017-Q3,433033
Italy,2017-Q4,466117.9
Italy,2018-Q1,421235.3
Italy,2018-Q2,442319.9
Italy,2018-Q3,440708
Italy,2018-Q4,473480.6
Italy,2019-Q1,426135.1
Italy,2019-Q2,447983.7
Italy,2019-Q3,449321.3
Italy,2019-Q4,480626.2
Italy,2020-Q1,405124.6
Italy,2020-Q2,375380.9
Italy,2020-Q3,428141.7
Italy,2020-Q4,461365.1
Italy,2021-Q1,420083.5
Italy,2021-Q2,450994.1
Italy,2021-Q3,467053.6
Italy,2021-Q4,504376.3
Italy,2022-Q1,463544.7
Italy,2022-Q2,495191.8
Italy,2022-Q3,500389.6
Italy,2022-Q4,538946.7
Italy,2023-Q1,506837.8
Italy,2023-Q2,531375.2
Italy,2023-Q3,535092.2
Italy,2023-Q4,569296.4
Italy,2024-Q1,525250.3
Italy,2024-Q2,543080.2
Italy,2024-Q3,547018.7
Italy,2024-Q4,584269.7
Italy,2025-Q1,533352.8
Italy,2025-Q2,555893.8
Italy,2025-Q3,562282.9
Italy,2025-Q4,570000
Latvia,2017-Q1,5719.2
Latvia,2017-Q2,6497.2
Latvia,2017-Q3,6819.6
Latvia,2017-Q4,6981
Latvia,2018-Q1,6038.7
Latvia,2018-Q2,7076.6
Latvia,2018-Q3,7423
Latvia,2018-Q4,7615.2
Latvia,2019-Q1,6538
Latvia,2019-Q2,7412.2
Latvia,2019-Q3,7804.1
Latvia,2019-Q4,7812.7
Latvia,2020-Q1,6696.3
Latvia,2020-Q2,6911.1
Latvia,2020-Q3,7731.2
Latvia,2020-Q4,7885.8
Latvia,2021-Q1,6725.9
Latvia,2021-Q2,7894.5
Latvia,2021-Q3,8614.9
Latvia,2021-Q4,9048.5
Latvia,2022-Q1,7670.1
Latvia,2022-Q2,8944.8
Latvia,2022-Q3,9674.8
Latvia,2022-Q4,9799
Latvia,2023-Q1,8978.1
Latvia,2023-Q2,9838.5
Latvia,2023-Q3,10223.4
Latvia,2023-Q4,10524.2
Latvia,2024-Q1,8602.4
Latvia,2024-Q2,10221.3
Latvia,2024-Q3,10385.9
Latvia,2024-Q4,11149.9
Latvia,2025-Q1,9022.2
Latvia,2025-Q2,10633.9
Latvia,2025-Q3,11192.1
Latvia,2025-Q4,11500
Lithuania,2017-Q1,9358.9
Lithuania,2017-Q2,10432.8
Lithuania,2017-Q3,11302.8
Lithuania,2017-Q4,11180.1
Lithuania,2018-Q1,10135.1
Lithuania,2018-Q2,11334.9
Lithuania,2018-Q3,12133.7
Lithuania,2018-Q4,12343.8
Lithuania,2019-Q1,10905.2
Lithuania,2019-Q2,12183.7
Lithuania,2019-Q3,13009.3
Lithuania,2019-Q4,13141
Lithuania,2020-Q1,11507.3
Lithuania,2020-Q2,11851
Lithuania,2020-Q3,13551.3
Lithuania,2020-Q4,13355
Lithuania,2021-Q1,12158.4
Lithuania,2021-Q2,13804.9
Lithuania,2021-Q3,15289.2
Lithuania,2021-Q4,15456.6
Lithuania,2022-Q1,14655.9
Lithuania,2022-Q2,16334.6
Lithuania,2022-Q3,18306.1
Lithuania,2022-Q4,17784.5
