country,time,price
Lithuania,2018-S1,0.1097
Lithuania,2018-S2,0.1097
Lithuania,2019-S1,0.1255
Lithuania,2019-S2,0.1254
Lithuania,2020-S1,0.1426
Lithuania,2020-S2,0.1321
Lithuania,2021-S1,0.1348
Lithuania,2021-S2,0.1477
Lithuania,2022-S1,0.1497
Lithuania,2022-S2,0.2429
Lithuania,2023-S1,0.282
Lithuania,2023-S2,0.2223
Lithuania,2024-S1,0.2315
Lithuania,2024-S2,0.2144
Lithuania,2025-S1,0.2109
Poland,2017-S1,0.1446
Poland,2017-S2,0.1451
Poland,2018-S1,0.141
Poland,2018-S2,0.1396
Poland,2019-S1,0.1343
Poland,2019-S2,0.1376
Poland,2020-S1,0.1475
Poland,2020-S2,0.151
Poland,2021-S1,0.1548
Poland,2021-S2,0.1574
Poland,2022-S1,0.1464
Poland,2022-S2,0.1604
Poland,2023-S1,0.1769
Poland,2023-S2,0.2162
Poland,2024-S1,0.209
Poland,2024-S2,0.2477
Poland,2025-S1,0.2559
Portugal,2017-S1,0.2284
Portugal,2017-S2,0.223
Portugal,2018-S1,0.2246
Portugal,2018-S2,0.2293
Portugal,2019-S1,0.215
Portugal,2019-S2,0.2181
Portugal,2020-S1,0.212
Portugal,2020-S2,0.2133
Portugal,2021-S1,0.2089
Portugal,2021-S2,0.217
Portugal,2022-S1,0.2199
Portugal,2022-S2,0.2222
Portugal,2023-S1,0.2071
Portugal,2023-S2,0.2299
Portugal,2024-S1,0.2426
Portugal,2024-S2,0.2626
Portugal,2025-S1,0.239
Spain,2017-S1,0.2296
Spain,2017-S2,0.2177
Spain,2018-S1,0.2383
Spain,2018-S2,0.2477
Spain,2019-S1,0.2403
Spain,2019-S2,0.2394
Spain,2020-S1,0.2239
Spain,2020-S2,0.2298
Spain,2021-S1,0.2323
Spain,2021-S2,0.2816
Spain,2022-S1,0.3071
Spain,2022-S2,0.335
Spain,2023-S1,0.2454
Spain,2023-S2,0.2347
Spain,2024-S1,0.2436
Spain,2024-S2,0.2408
Spain,2025-S1,0.2608
Denmark,2017-S1,0.3049
Denmark,2017-S2,0.301
Denmark,2018-S1,0.3126
Denmark,2018-S2,0.3123
Denmark,2019-S1,0.2984
